stop_id,stop_name,stop_desc,stop_lat,stop_lon
781729,Newport,,40.72699,-74.03383
26726,Christopher Street,,40.73295,-74.00707
781734,9th Street,,40.73424,-73.9991
781732,Christopher Street,,40.73295,-74.00707
781717,Hoboken,,40.73586,-74.02922
26730,Hoboken,,40.73586,-74.02922
781763,World Trade Center,,40.71271,-74.01193
781721,Harrison,,40.73942,-74.15587
782509,33rd Street,,40.7485,-73.9884
782500,Hoboken,,40.7352,-74.0276
782497,Grove Street,,40.7195,-74.0425
781727,Grove Street,,40.71966,-74.04245
26733,Newark,,40.73454,-74.16375
781716,Hoboken,,40.73586,-74.02922
782511,33rd Street,,40.7495,-73.9885
781728,Newport,,40.72699,-74.03383
26728,Grove Street,,40.71966,-74.04245
781718,Newark,,40.73454,-74.16375
794724,World Trade Center,,40.71271,-74.01193
782492,Harrison,,40.739,-74.1558
781719,Newark,,40.73454,-74.16375
781724,Journal Square,,40.73301,-74.06289
781730,Exchange Place,,40.71676,-74.03238
781722,Journal Square,,40.73301,-74.06289
781739,23rd Street,,40.7429,-73.99278
26725,9th Street,,40.73424,-73.9991
782494,Journal Square,,40.7322,-74.0629
781741,33rd Street,,40.74912,-73.98827
782512,World Trade Center,,40.7118,-74.0112
26734,World Trade Center,,40.71271,-74.01193
781764,World Trade Center,,40.71271,-74.01193
782495,Journal Square,,40.7317,-74.0613
782498,Newport,,40.727,-74.0338
782504,9th Street,,40.7341,-73.9987
781715,Hoboken,,40.73586,-74.02922
782506,14th Street,,40.7373,-73.9972
782493,Harrison,,40.7395,-74.1559
782490,Newark,,40.7344,-74.1635
782510,33rd Street,,40.7484,-73.9876
781735,9th Street,,40.73424,-73.9991
781740,33rd Street,,40.74912,-73.98827
26722,14th Street,,40.73735,-73.99684
782508,33rd Street,,40.7487,-73.9886
781725,Journal Square,,40.73301,-74.06289
781726,Grove Street,,40.71966,-74.04245
782507,23rd Street,,40.7428,-73.9927
26727,Exchange Place,,40.71676,-74.03238
782505,14th Street,,40.7377,-73.997
782496,Grove Street,,40.7191,-74.0412
782502,World Trade Center,,40.712822,-74.011766
782503,Christopher Street,,40.733,-74.0071
781723,Journal Square,,40.73301,-74.06289
26729,Harrison,,40.73942,-74.15587
782499,Hoboken,,40.7356,-74.0288
781731,Exchange Place,,40.71676,-74.03238
781736,14th Street,,40.73735,-73.99684
781733,Christopher Street,,40.73295,-74.00707
26724,33rd Street,,40.74912,-73.98827
26732,Newport,,40.72699,-74.03383
781765,World Trade Center,,40.71271,-74.01193
781737,14th Street,,40.73735,-73.99684
782491,Newark,,40.7343,-74.1649
781766,World Trade Center,,40.71271,-74.01193
26731,Journal Square,,40.73301,-74.06289
781720,Harrison,,40.73942,-74.15587
782501,Exchange Place,,40.7165,-74.0334
781738,23rd Street,,40.7429,-73.99278
26723,23rd Street,,40.7429,-73.99278